id;display_name;manufacturer;name;powder_type_normalized;grain_shape_normalized;burn_rate;relative_burn_rate;quickload_ba_value;qex_kj_per_kg;k_ratio;a0;z1;z2;eta_cm3_per_kg;pc_kg_m3;pcd_kg_m3;pt_c;density_gcc;grain_size_mm;temp_stable;temp_coefficient_fps_per_f;loading_density_optimal_percent;velocity_potential;optimal_bullet_weight_range;suitable_for_cartridges;usable_for_simulation;validation_status;lot_number;source_display;evidence_level;notes
78;Baschieri & Pellagri BP 109 Magnum Rifle;Baschieri & Pellagri;BP 109 Magnum Rifle;;;0.4736;0.4736;0.4736;3800.0;1.2229;-0.7046;0.5226;0.6833;1.0;1690.0;970.0;21.0;;;1;;;;;;1;memory_extracted;2020-08-01;Internal reference seed;memory_extracted;Imported from internal reference seed.
22;Hodgdon 50BMG;Hodgdon;50BMG;;;Ba 0.2100;0.21;0.21;4010.0;1.2695;6.421;0.2923;0.8385;1.0;1570.0;934.0;21.0;;;1;;;;;;1;verified_seed;2023/03/26;grt_databases;simulation_seed;grt_databases
81;Hodgdon BL-C2;Hodgdon;BL-C2;;;0.5191;0.5191;0.5191;3900.0;1.2231;1.5755;0.4842;0.8367;1.0;1600.0;995.0;21.0;;;1;;;;;;1;memory_extracted;2020-08-DEV-1;Internal reference seed;memory_extracted;Imported from internal reference seed.
79;Hodgdon Benchmark;Hodgdon;Benchmark;;;0.6868;0.6868;0.6868;3770.0;1.2289;0.7486;0.4015;0.7784;1.0;1600.0;906.0;21.0;;;1;;;;;;1;memory_extracted;2019-12-03;Internal reference seed;memory_extracted;Imported from internal reference seed.
80;Hodgdon Benchmark 3-Barrel;Hodgdon;Benchmark 3-Barrel;;;0.7114;0.7114;0.7114;3770.0;1.2142;1.0526;0.4985;0.7984;1.0;1590.0;906.0;21.0;;;1;;;;;;1;memory_extracted;2020-08-22;Internal reference seed;memory_extracted;Imported from internal reference seed.
82;Hodgdon CFE-223;Hodgdon;CFE-223;;;0.5389;0.5389;0.5389;3800.0;1.2299;0.7547;0.4941;0.7913;1.0;1580.0;980.0;21.0;;;1;;;;;;1;memory_extracted;2020-03-07;Internal reference seed;memory_extracted;Imported from internal reference seed.
83;Hodgdon CFE-223 (approx.);Hodgdon;CFE-223 (approx.);;;0.5312;0.5312;0.5312;3900.0;1.2241;0.5967;0.5685;0.8053;1.0;1570.0;980.0;21.0;;;1;;;;;;1;memory_extracted;2019-12-02;Internal reference seed;memory_extracted;Imported from internal reference seed.
84;Hodgdon CFE-BLK;Hodgdon;CFE-BLK;;;0.7981;0.7981;0.7981;3900.0;1.2019;6.2497;0.1122;0.6043;1.0;1680.0;1050.0;21.0;;;1;;;;;;1;memory_extracted;2020-10-02;Internal reference seed;memory_extracted;Imported from internal reference seed.
85;Hodgdon CFE-Pistol;Hodgdon;CFE-Pistol;;;3.0199;3.0199;3.0199;4220.0;1.2211;-0.4412;0.1437;0.7239;1.0;1580.0;638.0;21.0;;;1;;;;;;1;memory_extracted;2020-03-30;Internal reference seed;memory_extracted;Imported from internal reference seed.
8;Hodgdon H1000;Hodgdon;H1000;Extruded;extruded;0.3704;0.3704;0.3704;3780.0;1.2384;0.9494;0.6263;0.8344;1.0;1580.0;920.0;21.0;;;1;;;;;;1;memory_extracted;2020-04-14;Internal reference seed;memory_extracted;For big cases
86;Hodgdon H110;Hodgdon;H110;;;1.0721;1.0721;1.0721;4020.0;1.2287;-0.2441;0.4823;0.7638;1.0;1680.0;970.0;21.0;;;1;;;;;;1;memory_extracted;2020-04-20;Internal reference seed;memory_extracted;Imported from internal reference seed.
87;Hodgdon H322;Hodgdon;H322;;;0.6614;0.6614;0.6614;3900.0;1.2289;0.4497;0.5007;0.7672;1.0;1570.0;893.0;21.0;;;1;;;;;;1;memory_extracted;2019-12-03;Internal reference seed;memory_extracted;Imported from internal reference seed.
88;Hodgdon H335;Hodgdon;H335;;;0.6218;0.6218;0.6218;3900.0;1.2239;0.7077;0.4689;0.8281;1.0;1630.0;1010.0;21.0;;;1;;;;;;1;memory_extracted;2020-02-06;Internal reference seed;memory_extracted;Imported from internal reference seed.
23;Hodgdon H380 #3;Hodgdon;H380 #3;;;Ba 0.4960;0.496;0.496;3970.0;1.20425;4.0837;0.3391;0.4215;1.0;1570.0;940.0;21.0;;;1;;;;;;1;verified_seed;20230129;grt_databases;simulation_seed;grt_databases
89;Hodgdon H4198;Hodgdon;H4198;;;0.9409;0.9409;0.9409;3900.0;1.2312;-0.2219;0.3684;0.8049;1.0;1560.0;870.0;21.0;;;1;;;;;;1;memory_extracted;2021-04-09;Internal reference seed;memory_extracted;Imported from internal reference seed.
90;Hodgdon H4227;Hodgdon;H4227;;;0.9893;0.9893;0.9893;3880.0;1.2258;1.1538;0.2508;0.7264;1.0;1590.0;870.0;21.0;;;1;;;;;;1;memory_extracted;2020-04-30;Internal reference seed;memory_extracted;Imported from internal reference seed.
1;Hodgdon H4350;Hodgdon;H4350;Extruded;extruded;0.5252;0.5252;0.5252;3740.0;1.2358;0.4973;0.5221;0.8298;1.0;1600.0;990.0;21.0;;;1;;;;;;1;memory_extracted;2019-11-28;Internal reference seed;memory_extracted;Extremely popular for 6.5 CM
91;Hodgdon H4831;Hodgdon;H4831;;;0.4369;0.4369;0.4369;3850.0;1.2301;0.4014;0.5063;0.8091;1.0;1550.0;930.0;21.0;;;1;;;;;;1;memory_extracted;2020-04-14;Internal reference seed;memory_extracted;Imported from internal reference seed.
9;Hodgdon H4895;Hodgdon;H4895;Extruded;extruded;0.5893;0.5893;0.5893;3550.0;1.2393;3.1839;0.4283;0.8388;1.0;1680.0;964.0;21.0;;;1;;;;;;1;memory_extracted;2019-12-17;Internal reference seed;memory_extracted;Classic ball powder
